id,category
955,2
3532,1
1390,1
1024,1
1902,1
1156,1
2205,3
885,2
1116,2
3739,2
4003,1
152,1
930,1
2840,4
2902,2
2622,3
3158,2
1290,2
1731,1
1537,1
1897,4
752,1
343,1
4004,4
3021,4
2162,1
112,2
2538,1
3862,1
2498,3
3492,1
850,1
1158,4
1505,4
1229,1
986,2
3215,2
4032,1
706,1
2459,1
1336,1
1836,4
3381,1
2794,1
3115,3
531,1
921,2
693,1
1929,4
2412,1
3086,1
1185,2
2690,1
2306,2
3390,2
1616,4
498,1
439,2
2202,1
855,4
3693,1
357,4
1200,1
462,1
267,2
720,1
2139,2
2093,1
2255,4
1355,4
3141,1
3435,1
1637,4
2702,3
2309,1
2886,1
3287,1
668,1
2878,2
2836,4
494,1
423,1
485,1
1526,1
339,4
4068,1
332,1
3989,1
578,2
2438,1
3395,2
2211,1
366,2
1928,2
1903,4
3265,1
1953,4
2865,3
2003,1
810,2
2269,2
2150,2
557,1
572,1
3746,3
470,1
1499,1
707,1
2503,2
636,1
2787,1
3920,1
620,3
1472,4
2181,2
3819,1
3745,1
3412,1
1387,2
1509,2
2670,1
2599,1
1448,1
1877,3
2819,1
174,2
2426,3
1696,1
3563,1
1647,1
260,2
2860,1
2258,3
1246,3
3544,1
1787,1
2145,1
2725,2
2157,1
1872,2
1601,2
2386,1
1321,1
3597,2
1618,2
3452,1
2382,1
649,2
4122,4
459,4
3484,1
3406,3
1178,4
2925,1
3151,3
3200,2
1304,1
3133,2
2520,1
2263,2
2370,2
2056,3
2347,1
1573,2
980,4
2855,1
2767,1
1815,2
1782,1
2144,1
1866,1
2750,1
3337,1
1518,1
1850,1
1820,4
468,1
2607,2
2544,4
2940,1
2138,1
1138,2
2891,1
3308,2
1922,3
2811,1
4095,1
6,1
3171,1
3306,1
2229,3
2435,1
2234,1
2318,1
661,1
3521,1
1954,2
1588,2
2141,1
2242,1
223,1
1255,3
2921,1
3882,1
1939,2
159,4
1477,1
1237,2
374,2
1096,1
3609,4
2203,4
1624,1
2831,2
1453,1
925,1
3209,3
39,4
2847,3
1579,1
3966,2
2463,1
1790,1
801,1
241,1
1094,1
2081,1
3447,1
3767,1
86,1
3070,1
1180,4
1931,1
2436,1
2392,2
3228,1
2358,1
618,2
3367,2
3324,2
1714,1
2036,1
386,1
4075,1
1058,2
3527,1
2889,2
4060,1
3849,1
2984,1
1702,2
1587,2
70,1
988,4
972,1
952,4
625,2
1957,1
1913,2
1148,1
1842,4
1745,3
2866,3
3208,2
460,2
16,1
3053,1
249,4
2338,1
409,1
2852,3
304,2
1524,2
3226,2
2402,3
798,4
3573,1
2562,4
3132,1
1241,1
1783,1
844,1
2262,3
1834,4
2848,2
3874,1
2377,2
2243,1
