Things,Favorite?,Humanely Giftable?,Naughty or Nice?
aindropsray noay osesray,1,1,icenay
hiskersway noay ittenskay,1,0,NaN
rightbay oppercay ettleskay,1,1,icenay
armway oolenway ittensmay,1,1,icenay
rownbay aperpay ackagespay iedtay puay ithway tringssay,1,1,icenay
reamcay oloredcay oniespay,1,1,icenay
rispcay ppleay trudelsay,1,1,icenay
oorbellsday,1,1,icenay
leighsay ellsbay,1,1,icenay
chnitzelsay ithway oodlesnay,1,1,icenay
ildway eesegay hattay lyfay ithway hetay oonmay noay heirtay ingsway,1,0,NaN
irlsgay niay hiteway ressesday ithway luebay atinsay ashessay,1,0,NaN
nowflakessay hattay taysay noay ymay osenay ndaay yelasheseay,1,1,icenay
ilversay hiteway intersway hattay eltmay ntoiay pringssay,1,1,icenay
henway hetay ogday itesbay,0,0,NaN
henway hetay eebay tingssay,0,0,NaN
henway 'miay eelingfay adsay,0,1,aughtynay
