job_title,company,description,job_url,keywords_present,page_found
Data Scientist,Aegis Premier Technologies,"About Us We are a group of passionate technology professionals who are committed to delivering best-in-class data, data science and software solutions for the non-profit space. We care deeply about our clients’ needs and understand that the work we do has a direct impact on their ability to continue improving the lives of many different people and groups.About the JobThe Data Scientist will help us design, create and deliver products driven from vast consumer data resources. You should possess most or all of the following skills:· Applying data mining techniques· Completing statistical analysis· Building high quality prediction systems· Automating scoring using machine learning techniques· Building recommendation systems· Consulting with non-technical marketing partners and clients· Developing marketing testing proceduresAdditional Responsibilities· Selecting features, building and optimizing classifiers using machine learning techniques· Data mining using state-of-the-art methods· Extending company’s data with third party sources of information when needed· Enhancing data collection procedures to include information that is relevant for building analytic systems· Processing, cleansing, and verifying the integrity of data used for analysis· Doing ad-hoc analysis and presenting results in a clear manner· Creating automated anomaly detection systems and constant tracking of its performanceAbout You - Skills and QualificationsWe are looking for individuals who love to build data science-driven products and solutions in a fast-paced business environment.· Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.· Experience with common data science toolkits, such as R, Python, Azure Machine Learning Studio, AWS Machine Learning - excellence in at least one of these is highly desirable· Great communication skills· Experience with data visualization tools, such as D3.js, GGplot, etc.· Proficiency in using query languages such as SQL, Hive, Pig· Experience with NoSQL databases, such as MongoDB, Cassandra, HBase· Good applied statistics skills, such as distributions, statistical testing, regression, etc.· Good scripting and programming skills· Data-oriented personalityEducation / Experience The ideal Data Scientist candidate will have some combination of the following experience/education:· Advanced Degree in Mathematics, Statistics, Engineering or Computer Science· 5+ years experience in a business environment· Experience with consumer data products· Experience with developing and implementing predictive modeling products in business settingAbout Aegis Premier Technologies: Aegis Premier Technologies with headquarters in Westminster, CO, brings creative solutions, powerful technology, and cost-effective products to the nonprofit industry.Job Type: Full-timeExperience:data science: 2 years (Required)AWS Machine Learning: 1 year (Preferred)Location:Westminster, CO (Required)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleSchedule::Monday to Friday",https://www.indeed.com/viewjob?cmp=Aegis-Premier-Technologies&t=Data+Scientist&jk=d8891916469e042c&sjdu=QwrRXKrqZ3CNX5W-O9jEveJgZ7DRbh_ySwPONsqRa9ZW4N-0leXNJ1nUuiJ-kR7vVSLM815TvZxPISFQtteDJw&adid=316599537&pub=4a1b367933fd867b19b072952f68dceb&vjs=3,,1
Data Scientist,Merkle Inc.,"Job Description

Design, develop, test, deploy and maintain machine learning techniques for Merkle data products. The products include identify, feature generation, propensity models, look-alike models and segmentation for hundreds of millions of online and offline B2C customers. Products run on Amazon Web Services (AWS) and use terabytes of behavioral, demographic and attitudinal data.
Key Responsibilities
Automate classification modeling and segmentation
Improve the reach and accuracy of Merkle’s identity graph using machine learning
Deploy on public cloud infrastructure
Stay current on applicable machine learning techniques and their associated programming methods
Automate statistical quality assurance tests
Act as an internal subject-matter expert for new statistics and machine learning techniques

Qualifications

Key Skills and Experience
At least 2 years of experience in digital or ad tech
Bachelor’s degree in Computer Science, Applied Statistics or an equivalent quantitative field
Strong understanding of the digital ecosystem (DSPs, DMPs, Addressable TV, web analytics, site optimization)
Cross-discipline team collaboration
Deep SQL expertise
Strong Python or R skills
Understanding of basic machine learning techniques such as regularized regression analysis, random forests and clustering
Active curiosity of new(ish) techniques such as matrix factorization, multi-layer neural nets or t-SNE
Other Desired Skills
Experience developing in and deploying on public clouds such as Amazon Web Services, Azure or Google Cloud.
Experience using distributed computing frameworks like Spark and Hive
Experience using cutting edge ML package such as XGBoost, Tensorflow, PyTorch and Scikit-learn
Ability to learn with minimal oversight
Creative, original thinker
Ability to work productively in a distributed team
Additional Information

All your information will be kept confidential according to EEO guidelines. At Merkle, we believe that a diverse environment improves us as a community and as a business. We want to foster an environment of growth, where all ideas and contributions are encouraged. We need this culture of courage to continue to thrive in our fast-paced industry. We embrace differences of opinion. We value diversity of experience and thought, which help us to challenge and define industry-leading solutions, and support our goal of being a great place to work.",https://www.indeed.com/viewjob?jk=9c9be388d6427692&from=serp&vjs=3,,1
Data Scientist,Deloitte,"Deloitte Services LP includes internal support areas such as Sales Excellence, Marketing and Communications, Human Resources/Talent, Information Technology, Facilities Management, and Financial Support Services.

Data Scientist

The Data Scientist provides direct support to GPS Sales Excellence by providing sales and pipeline analytics of Deloitte’s Customer Relationship Management (CRM) system (Salesforce), business development artifacts, and client documents.

The GPS Data Scientist is responsible for collaborating with Leadership and other Enabling Areas to understand their processes and data and therefore determine the most efficient and cost-effective manner to provide insights and subsequently predictive analyses on our bidding strategies, pipeline, and future sales.

This individual will apply natural language processing/machine learning to facilitate research, gather, and design processes and/or use technology to mine various business development artifacts, such as proposals, client documents, competitive research, and other corporate data repositories to identify ways to improve our win rate. The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.

Work you’ll do

As a Data Scientist within our team you will:
Assist Sales Excellence leaders with Mercury sales and pipeline data analyses
Coordinate with other internal organizations to understand business development processes and data
Provide recommendations and predictive analysis to senior leaders on improving bid strategies and subsequently win rates.",https://www.indeed.com/viewjob?jk=1f37f96bae2be3f8&from=serp&vjs=3,,1
Data Scientist|| Machine Learning,Expedite LLC,"Job SummaryJob Title: Data Scientist|| Machine learningWork Location: Bloomfield, CODuration: 12+monthsMust have skills (1-5):1. Understanding of Statistics2. Statistical Programming3. Statistical Techniques and Algorithms4. Telecom Business Knowledge5. CommunicationAny Certifications required (Y/N, specify) Any Data Science certificationsWork as the lead data strategist, identifying and integrating new datasets that can be leveraged through our product capabilities and work closely with the engineering team to strategize and execute the development of data science solutions.Job Description: Running Discovery exercise with business stakeholder to identify probable Use Case for Data Science exploration.Selecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methodsEnhancing data collection procedures to include information that is relevant for building analytic systemsIdentify valuable data sources and automate collection processesProcessing, cleansing, and verifying the integrity of data used for analysis of structured and unstructured data.Analyze large amounts of information to discover trends and patternsBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teams.Creating automated anomaly detection systems and constant tracking of its performanceIdentify problems, develop ideas and propose solutions within different situations requiring analytical, evaluative or constructive thinking in daily workProvide accurate and consistent status reports to clients and other stakeholdersStrong Communication skills for client and other stakeholder managementRequirements and Qualifications6+ years of business/technology work experience3+ years of Proven experience as a Data Scientist or Data AnalystProficiency with data mining, mathematics, and statistical analysisUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)Comfort working in a dynamic, research-oriented group with several ongoing concurrent projectsAnalytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeJob Type: ContractSalary: $60.00 to $65.00 /hour",https://www.indeed.com/viewjob?cmp=Expedite-LLC&t=Data+Scientist+Machine+Learning&jk=8c6aa71b57967d9a&vjs=3,,1
Data Scientist,Honey,"Honey is a fast-growing startup based in Los Angeles. Our online shopping platform offers users a smarter way to shop. Through a simple browser extension, we open up instant access to exclusive savings, deals, rewards and discovery, all powered by the collective knowledge of Honey's community of online shoppers. We are helping millions save when they shop online, and we're hiring! We are actively seeking a Data Scientist to join the Engineering Team in our Los Angeles office.

As a Data Scientist at Honey you can expect to work with other data scientists, data engineers, and product managers to enhance existing product features and build new ones. You'll be able to work with these teams all while pitching your ideas for projects and determining your own approach and preferred tools.

About the Role:
As a Data Scientist, you'll take ownership of a complete project area and develop an end to end solution that is deployed into our production system. Some of the projects currently being worked on include, enhancing product catalog with text and image-based classification, building recommendation systems for products and stores, and enhancing search.

What you'll do:

Prototype and release underwriting models that will support Honey's lending product Honey Pay.
Participate in the full data science workflow - starting from raw data that needs to be cleaned and analyzed, to releasing robust and stable models in production.
Perform ad-hoc analyses to answer product questions and to drive feature engineering efforts
Solve real business problems using data science, with a focus on outcomes and business impact.

About You:

Solid understanding of statistical and machine learning models, including assumptions and limitations.
Experience with data science workflow, from data cleaning and EDA, to feature engineering and model building, on real-world business datasets.
Experience with Python, including Python's machine learning ecosystem
You are curious and constantly asking questions and wanting to learn new things
Experience with feature engineering to drive modeling improvements
Experience with cloud technologies (Google Cloud Platform, AWS) and working with large scale data in the cloud
Experience or interest in bringing models into production using DataFlow and Google AI Platform
Excited to work with huge datasets of shopping data as well as small datasets of lending performance data
Interested in algorithmic bias and fairness considerations when building ML models

At Honey, we are committed to building a diverse and inclusive company. We seek to create a culture where everyone can belong because we believe that people do their best work when they can show up every day as their authentic selves. We welcome people of different backgrounds, experiences, abilities, and perspectives.

Honey is an equal opportunity employer. We do not make hiring or employment decisions on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, disability status or genetic information, in compliance with applicable federal, state and local law.",https://www.indeed.com/viewjob?jk=bad61334b2d1c88a&from=serp&vjs=3,,1
Part-time Data Science Instructor,General Assembly,"Since 2011, General Assembly has transformed tens of thousands of careers through pioneering, experiential education in today's most in-demand skills. As featured in The Economist, Wired, and The New York Times, GA offers training in web development, data, design, business, and more, both online and at campuses around the world. Our global professional community boasts 40,000 full- and part-time alumni — and counting.

In addition to fostering career growth for individuals, GA helps employers cultivate top tech talent and spur innovation by transforming their teams through strategic learning. More than 21,000 employees at elite companies worldwide have honed their digital fluency with our corporate training programs. GA has also been recognized as one of Deloitte's Technology Fast 500, and Fast Company has dubbed us leaders in World-Changing Ideas and the #1 Most Innovative Company in Education.

ESSENTIAL RESPONSIBILITIES AND DUTIES
-------------------------------------


Teach two 3-hour classes per week, for 11 weeks
Instructors will need to commit a few hours per week preparing lessons and materials, leveraging existing GA curriculum content.
Work alongside GA staff and teaching team to best meet the needs and learning styles of your students.
Guide students through development of a stellar final project that will showcase their abilities to hiring managers.
Facilitate a dynamic and collaborative classroom community.
Inspire students to persevere through the challenges of learning a new suite of skills

SKILLS AND QUALIFICATIONS
-------------------------


You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists.
You are the person that your colleagues naturally gravitate to when they are trying to figure something out.
You have at least 2 years of industry experience with data science (prior teaching experience a plus)
You have fluency in most of the following topics: Probability, Statistics; Python (other scripting languages such as R a plus); AWS, EMR, MapReduce and/or Hadoop; Manipulation of large data sets; Data visualization techniques; Databases; Algorithms; Machine learning

General Assembly is a licensed school in all states that we operate in, and some states require instructors to be licensed to teach. If hired, you will be required to submit and be approved as an instructor in relevant states. Directions for becoming licensed will be shared with you during onboarding. Licensure requirements vary by state, but you may be required to provide academic transcripts and to answer questions pertaining to moral character, professional conduct, education, and work history. General Assembly will pay for all licensing fees.",https://www.indeed.com/viewjob?jk=614a6be653caae51&from=serp&vjs=3,,1
Data Science Journalist,"Alteryx, Inc.","Why work for just any analytics company? At Alteryx Inc., we are explorers, dreamers and innovators. We’re on a journey to build the best analytics platform in the world, but we can’t do it without people like you, leading the way. Forget the stereotypical tech companies of the past. Embrace the unconventional, exercise your imagination and help alter the future with Alteryx.

Overview:
As a Data Science Journalist on the Community team, your mission will be to educate, inform, entertain, and delight your audience. Your audience will include a fanatic base of 100,000+ Alteryx Community users as well as data science enthusiasts around the world. Tools at your disposal to get your message across include the Alteryx Community blog, the Alter Everything podcast, and the Alteryx YouTube channel. Your voice will help establish Alteryx as a data science authority. If you love data science and love to transform technical knowledge and research into engaging content for the masses – this is the job for you.


Responsibilities will include:
Independently researching and interviewing experts for the creation data science-related content for video and podcast.
Blogging monthly about the latest in data science and the Alteryx platform.
Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.
Learning to use the Alteryx data science and analytics platform and disseminating that learning.
Working with the development team and data science team to understand the inner workings of the platform.
Working with leaders across departments to understand overall company strategy in order to inform content strategy.
Contributing to the editorial strategy.
Analyzing community data to better understand audience and drive audience growth.
Making sure the Community team remains a fun place to work.
Qualifications:
Excellent writing skills. Be prepared to provide a writing sample (e.g., personal blog post).
Must love to create and share.
Well-versed in creating multimedia examples (gif, video).
Some practical data science experience.
Good research skills and solid understanding of leading data science outlets.
Desired Skills & Experience:
STEM master’s degree.
Flare for graphic design.
Blogging, vlogging, or podcasting experience.
Fluency in a second (non-English) language a plus.
#LI-NL1",https://www.indeed.com/viewjob?jk=0064ab4a579fac96&from=serp&vjs=3,,1
Data Scientist,Fluid Truck Share,"Fluid is a peer-to-peer community truck sharing platform offering businesses and individuals a better way to rent vehicles, and vehicle owners an opportunity to make money. Fluid is rapidly scaling across the US with a proven technology platform that provides a more efficient way of connecting businesses & consumers with trucks.
Fluid allows people and businesses to connect their vehicles to our platform via Fluid Connect a piece of hardware that enables Fluid's mobile app to lock/unlock, track fuel/mileage, and mobilize the engine, making any vehicle easily rentable by other businesses and individuals. We enable businesses to dynamically scale up and down without having to take on more overhead, and we enable owners to generate cash from their existing assets and vehicles purchased for investment. We're facilitating more efficient utilization of vehicles around the country.
Fluid is creating a new industry that will change the way goods are used and valued. We are looking for smart, entrepreneurial, and passionate people to help us transform the way the world uses things. Be prepared to tackle challenges, work hard, solve big problems, and have a lot of fun!
Data Scientist
Fluid Truck is seeking a Data Scientist with at least 3 years of experience in statistics and first hand knowledge of data pipelines to join our team in Denver, Colorado. You will help us measure our services, automate manual work, and advance our analytic/data models. You will develop new data models and will present the results to stakeholders. In addition, you will play a key role in developing automated pipelines and dashboards in order to quickly visualize performance metrics. Responsibilities include: building mathematical, machine learning, and statistical models to discover actionable insights; developing proof-of-concept solutions for advanced reporting or automated decision-making; monitor, tune, and extend existing analytic solutions; design and develop IoT gateways that collect data.
Minimum Qualifications:
Bachelor's Degree in data science, applied mathematics, statistics, or related four-year degree
3 years of experience in statistics and data modeling
3 years of SQL experience used in conjunction with analytics and data modeling
3 years experience with Big Data technologies using varied databases
Preferred Qualifications:
Experience with multiple system level languages such as Scala, Python, and Go
Experience with data storage solutions in a clustered system architecture
Fluid Benefits:
Health insurance
Competitive salary
Stock options in a rapidly growing company
Flexible schedule
Fluid is proud to be an Equal Opportunity and Affirmative Action employer. Ensuring a diverse and inclusive workplace where we learn from each other is core to Fluid's values. We do not discriminate based upon race, religion, color, national origin, gender including pregnancy, childbirth, or related medical conditions, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics",https://www.indeed.com/viewjob?jk=845d956f611a196f&from=serp&vjs=3,,1
Data Scientist,Pricesenz,"Contract Only8-12 years of experience required.Job Description:Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth constraints; merge data sources; ensure consistency of data sets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings.Job Type: ContractExperience:Statistics: 4 years (Preferred)Mathematics: 5 years (Preferred)Machine Learning: 6 years (Preferred)Data Scientist: 10 years (Preferred)Modeling: 4 years (Preferred)deep learning: 5 years (Preferred)Contract Length:5 - 6 monthsContract Renewal:Possible",https://www.indeed.com/viewjob?cmp=PriceSenz&t=Data+Scientist&jk=4c8cb858be5468d4&vjs=3,,1
Data Scientist,Horizontal,"Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth constraints; merge data sources; ensure consistency of data sets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings.
Requirements:
8-12 years of experience required.
Drug/Background

Horizontal is proud to be an Equal Opportunity and Affirmative Action Employer. We seek to provide employment opportunities to talented, qualified candidates regardless of race, color, sex/gender including gender identity and/or expression, national origin, religion, sexual orientation, disability, marital status, citizen status, veteran status, or any other protected classification under federal, state or local law.

In addition, Horizontal will provide reasonable accommodations for qualified individuals with disabilities. If you need to request a reasonable accommodation in order to complete the application or interview process, please contact hr@horizontal.com.

All applicants applying must be legally authorized to work in the country of employment.",https://www.indeed.com/viewjob?jk=90ffcd8aa017890d&from=serp&vjs=3,,1
