Job Title,Company,Location,Summary
Data Scientist II,Genentech Pro Unlimited,"Millbrae, CA 94030",Work closely with project pilot team to apply research/experimental skills to design pilot/data analysis read out of a new analytical project.
Data Scientist - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","Strong experience with SQL and scientific computing languages (Python, R, etc.).We are a highly-ranked startup that is revolutionizing the financial tech space…"
Data Scientist - Health Care,Jobot,"Emeryville, CA 94608","Data Scientist - Cutting Edge Health Care Start up!If you are a Data Scientist with a health care background, then please.This Jobot Job is hosted by:"
Data Scientist II,Kelly Services,"South San Francisco, CA 94080","Strong organizational, project management, and ppt skills.Prepare agenda, minutes, and/or support development of ppt deliverables."
Data Scientist - Experimentation,TrueAccord,"San Francisco, CA","Design effective experiments for product and machine learning models, while collaborating with product managers, designers, engineers, and data scientists."
Data Scientist,Woodruff Sawyer,,The Commercial Lines BI team at WS is a newly founded capability to enhance the organization’s capacity in providing data-backed insights to its clients seeking…
Data Scientist,Spin,,"You will be responsible for developing analytical insights, machine learning models and actionable data-infoemd solutions.Daily catered lunch in our SF office."
Data Scientist (Jr. to Sr. Level),Piper Companies,,Knowledge of Artificial Intelligence or Machine Learning a big plus.Creating dashboards for data visualization.Leveraging SQL and Python consistently.
Data Scientist,Honor,,"Integrate machine learning into user-facing applications.Excellent mathematical and statistical fundamentals, including a degree in a quantitative field (such…"
Data Scientist,Numerator,,"The role is cross-functional by nature and is responsible for developing data products and analytics, defining methodologies, conducting research and analysis…"
Data Scientist,Gap Inc.,,"Build, validate, and maintain Operations Research (OR) and/or AI( Machine Learning (ML) /Deep learning) models.Merchandise discount for our brands:"
Sr. Data Scientist,Woodruff Sawyer,,The Commercial Lines BI team at WS is a newly founded capability to enhance the organization’s capacity in providing data-backed insights to its clients seeking…
Data Scientist,Wish,,We’re looking for talented Data Scientists to continue to improve our user experiences and grow the business through data and quantitative techniques.
Data Scientist,Stitch Fix,,"As an example, this could mean providing client-specific inventory health information to the marketing team so that they can choose to acquire clients that will…"
Data Scientist - Experimentation,TrueAccord,,"As a data scientist focusing on experimentation, you will apply statistical methods to design and analyze experiments, both for the consumer-facing product as…"
Data Scientist (Analytics) - Financial Technology Start Up!,Jobot,"San Francisco, CA 94107 (South Of Market area)","If you are a Data Scientist with a background in ANALYTICS, then please.This Jobot Job is hosted by:Based in San Francisco, CA.What can we do for you?"
