company_location,company_name,description,title
"Palo Alto, CA 94306",Instart,"The Data Scientist will work closely with Product and Engineering to build functioning prototypes on real-world big data through leveraging techniques in statistical modeling, machine learning, or data mining as well as software development. With several terabytes of content and billions of web requests flowing through our system on a daily basis, the potential to leverage this massive information flow and create an impactful product is huge. The prototypes will have the potential to be incorporated into various products that address challenging business problems including web application delivery, multimedia adaptation, web performance optimization, application security, third party ad blocking and sales operation analytics.

Qualifications


Passionate about applying machine learning algorithms to derive meaning from data
Ability to take a business problem and translate that into a scalable mathematical model
Good understanding of computational complexities, and strategies for scaling and distributed computations
Proficient in one or more machine learning or statistical modeling tools such as R, Matlab, and scikit-learn.
Familiar with one or more programming languages such as Python, Java or C++.
Experience with big data techniques (such as Spark, Hadoop, MapReduce, Hive, Pig).
Knowledge of experimental design, statistical inference, multivariate statistics and visualization.
Prior experience in data science / machine learning
MS or PhD, or equivalent, in Computer Science, Statistics, Applied Math, machine Learning or other quantitative field

About Instart

At Instart, we are building a world where the largest brands in the world can deliver amazing digital experiences to their customers.

Every major brand today, whether it is online shopping, travel or media, is making huge investments to improve their online experiences to keep up with consumer expectations. As consumers in a digital world, we tend to abandon websites very quickly if the experience is not as good as we expect it to be - fast, engaging, and responsive. With 100+ patents using artificial intelligence and machine learning, Instart’s unique technology continually optimizes the online consumer experience, learning from every interaction across devices and networks.

We’re growing at a rapid pace - on the path to increase our revenue and customer base by 4x in the next couple of years! You have an opportunity to be a part of this amazing growth, working on cutting-edge AI/ML cloud technology with some of the greatest minds, to help the most recognizable brands in the world create better digital experiences.

Instart is backed by major investors who are all looking to see us become the next Unicorn and more – Andreessen Horowitz, Kleiner Perkins, Greylock, Wing, and Sutter Hill to name a few. We take pride in the great experience we offer our employees from our flexible work schedules to free lunches and our super cool, dog-friendly office in Palo Alto. Let’s talk about your next career opportunity at Instart.

Instart is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Data Scientist
"Lake Forest, IL","TSI - Transworld System, Inc","TSI, is a leading supplier of specialized business process outsourcing (BPO) services that are delivered in our call centers through a diverse workforce across North America supporting clients in multiple vertical markets comprised of banks, energy and utility companies, health care providers, universities, and government organizations. We support the entire customer lifecycle that includes customer acquisition, full loan servicing, delinquency management, and collections utilizing a combination of voice, chat, email, SMS, and interactive voice messaging channels. As a result, employees enjoy the opportunity to grow, develop and build long-term careers in exciting industries, supporting the best brands in business, all while earning tenure with a specialty BPO leader. TSI represents a new company name, but one with over 40 years of experience and success serving these markets.About The RoleTSI is building a new predictive analytics team to better leverage our vast sets of first party and third party data to improve the efficiency and effectiveness of our global operations teams. This will be a key role with significant visibility to senior leadership and potential for positive impact on the businessResponsibilities: Review and assess existing collections strategies including account prioritization, contact strategies, performance/productivityBuild new scoring and segmentation models that predict the likelihood of a consumer to pay an outstanding balanceDevelop a dial strategy that prioritizes what phone numbers associated with an account should be dialed, and when they should be dialedCustomize treatment approaches by asset type and industry vertical: what accounts to call when and with what intensity, cure vs. payment planStatistically evaluate the effectiveness of different first party and third party data sources and data fields to identify those that are predictive and add value to the scoring, segmentation, and dials strategiesEvaluate ways to optimize overall spend with third party data vendorsDevelop and maintain machine learning infrastructure that powers our scoring and segmentation models and contact strategiesQualifications: Experience building machine learning systems from concept to product in a corporate environmentStrong experience and programming ability with R, Python, SAS, and/or other related tools. Must be able to write production quality code. Knowledge of Bayesian probability. Previous experience with, or research in, experimental designStrong SQL experience. Data will be sourced from our Data Warehouse using MS SQL Server. Must be able to handle complex joins and subqueries to quickly analyze and export datasetsAbility to clearly communicate insights and learnings to the business. Experience with presenting to groups and senior leadership is a plusMaster’s or Ph.D. in quantitative discipline or equivalent experienceRecord of delivering high quality products on timePractical self-starter; motivated to learn and improveAbility and willingness to roll up your sleeves and get things doneWork Environment: Office environment.Ability to lift and/or move 20 pounds with or without accommodation.We provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, status as a protected veteran, genetic information, status as a qualified individual with a disability and any other basis protected by federal, state or local laws.Job Type: Full-timeExperience:building machine learning systems: 3 years (Preferred)R, Python, SAS: 4 years (Preferred)SQL: 4 years (Preferred)Work authorization:United States (Required)",Data Scientist
"Dallas, TX",AustinCSI,"Looking for a Data Scientist with 5 years of experience or moreRequired skills:Excellent visual, written and communications skillsAbility to work with a teamProficient in SQL and HiveExperience working with HadoopProficient in Python programmingNatural language modeling is a must haveMasters degree in Data Science, Computer Science, Math, Physics or any related field. Ph.D is a plusJob Type: Full-timeExperience:Data Scientist: 5 years (Preferred)Education:Master's (Required)Location:Dallas, TX (Required)",Data Scientist
"Dallas, TX",AustinCSI,"Data Scientist with 2 years or more experienceRequired skills:Excellent visual, written and verbal communication skillsAbility to work alongside a teamProficient with SQL, Hive, H2OExperience working with HadoopBachelors degree in Computer Science or a related field or equivalent2 years experience as data scientist or similar analytics professional roleJob Type: Full-timeExperience:Analytics: 2 years (Preferred)Data Scientist: 2 years (Required)Education:Bachelor's (Required)Location:Dallas, TX (Required)",Data Scientist (2 years)
"San Jose, CA",SSIT Inc,"$120,000 - $130,000 a yearContractStrong background in Data Science, Machine Learning, Deep Learning system architecture, design, implementation and deployment. You have deep knowledge of software development background, on open source cloud technologies and application platforms and are a strategic thinker (system level) that can look at the big picture, abstract workflows and provide technical assistance in technology to be used at the strategic level. If so, we're looking for you!Our Minimum Requirements are:* Ph.D. or Master’s degree in computer science or equivalent* 7+ years of experience in building large scale, high performance, ML/DL based systems and Strong Computer Science fundamentals (algorithms, data structures)* Experience with Big Data technologies (Hadoop and other frameworks in Hadoop ecosystem, Elasticsearch, etc.)* Working experience with building ML models, Neural Networks, or any Deep Learning techniques* Extensive experience solving analytical problems using quantitative approaches, operations research and optimization algorithms* Comfort manipulating and analyzing complex, high-volume, high dimensionality data from varying sources* Fluency and facility with one or more of the following programming languages: Java, Scala, Python.* Knowledge of tools such as SPARK, TensorFlow, Microservices, Kafka, HDFS, HBase* Excellent written and oral communication skills, able to communicate with all levels of internal technology teams and business teamsDesired Skills:* Passion for answering hard questions with dataJob Types: Full-time, ContractSalary: $120,000.00 to $130,000.00 /yearExperience:Hadoop: 1 year (Preferred)Scala: 1 year (Preferred)Data scientist: 5 years (Preferred)Java: 1 year (Preferred)Education:Doctorate (Preferred)Contract Length:More than 1 yearFull Time Opportunity:Yes",Data Scientist
"Draper, UT",Zenabi,"Zenabi finds signals which provide deep business insights that increase revenue. Using the latest in Artificial Intelligence technology, Zenabi has helped start-ups to Fortune 500 companies and professional sports teams unlock the potential of their data and solve their biggest data-driven challenges.Our team is focused on delivering strategically impactful products to our internal and external customers. We build analytically-based solutions that integrate a wide range of large datasets within a cutting-edge parallel-processing environment in a cloud-based environment. We work in the areas of e-commerce, IOT, and Geospatial domains, but are limited only by our imaginations.Responsibilities:Be a highly analytical leader with a strong customer focus and the ability to solving complex problems working with customer and business leadersThe ability to balance the “art and science” by solving analytical problems using quantitative and qualitative approaches that will be critical to driving high-end business valueEstablish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementationDrive the analytics roadmap proactively by identifying opportunities in the data based on the business priorities working with all divisionsApply out of the box but advanced algorithms to complex problems in real time systems and deliver concise, insightful analysis that can quickly be put to operational useWork closely with Data Engineering and product management to turn data analysis into actionable algorithms and applicationsWork with Data Engineering to design a world-class machine learning infrastructure and production environmentExecute large scale models using Logistic Regression, Linear Models Family (Poisson models, Survival models, Hierarchical models, Naïve-Bayesian estimators), Conjoint Analysis, Spatial models, Time-series modelsResponsible for delivering solving problems in the domains of Ecommerce, Shipping, Internet of Things and Spatial analytics with batch, real-time and predictive modelsAnalyze large data sets comprised of e-commerce data (clickstream, order data, tracking data, competitive price changes, currency fluctuations) and optimize business goalsChampion a data-driven culture and drive long-term business value creation through development of best-in-class data science capabilitiesDevelop partnerships with academic leaders in data science, machine learning, operations research and Natural Language Processing to ensure we are leveraging best-in-class techniques, algorithms, and technologiesQualifications:Masters Degree or PhD in Statistics, Mathematics, Economics, or similar and 6+ years of experienceMust be highly experienced with data cleanups, data wrangling, data transformation, data mining, and statistical analysis and/or codingMust have experience in feature engineering, anomaly handling, model development, and model tune-upsHands-on experience coding in Python, R, or other advanced programming languages is required for this role, as is experience working with large datasets using SQLBig data modeling work with Hadoop, Hive, Impala, Pig, Scala, Spark and Zeppelin or Jupyter is desiredProven work examples of turning significant amounts of data into informative/insightful actions through various statistical techniques that turn into explosive business resultsGood ranking in Kaggle type competitions is a big plusJob Type: Full-timeExperience:SQL: 6 years (Required)Big Data Modeling: 6 years (Required)Education:Master's (Required)",Principal Data Scientist
"Washington, DC",IT Veterans,"IT Veterans (ITV) is seeking a Data Scientist to support one of ITV’s US Government customers. This position requires a TS clearance with SCI eligibility.Technical Expertise Needed: Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analysesExamples of development include; Build recommendation engines, spam classifiers, sentiment analyzers and classifiers for unstructured and semi-structured dataCluster large amount of user generated content and process data in large-scale environments using Amazon EC2, Storm, Hadoop and SparkPerform machine learning, natural language, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methodsParticipate in client engagements focused on big data and advanced business analytics, in diverse domains such as product development, marketing research, public policy, optimization, and risk management; communicate results and educate others through reports and presentationsIT and Cybersecurity and Threat Intelligence AnalysisPerform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patternsQualifications: Master's degree or PhD from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields, preferred with a strong mathematical background and ability to understand algorithms and methods from a mathematical viewpoint and an intuitive viewpoint8-10 years of experience may be substituted for degree.Demonstrated professional experience working as a Data ScientistStrong knowledge in at least one of the following fields: machine learning, data visualization, statistical modeling, data mining, or information retrievalStrong data extraction and processing skills.Job Type: Full-timeEducation:Master's (Preferred)License:TS/SCI clearance (Required)",Data Scientist
"San Antonio, TX",Ke'aki Technologies,"Ke'aki Technologies LLC, is a Native Hawaiian Organization (NHO) owned business. A premier government services company, Ke’aki Technologies, LLC offers a full spectrum of solutions that improve the performance and operational effectiveness of our government and Department of Defense.Ke'aki Technologies is looking for qualified Data Scientist to support an Air Force Medical Services (AFMS) contract by providing expertise in the areas of Data Science and Decision Support Analysis.DUTIES INCLUDE: Provide analytical tools and resources to assess the health of the AF beneficiary population.Provide technical expertise in the areas of prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues in order to support the AFMS’s vision of becoming the healthiest and highest performing segment of the US by 2025.Perform clinical and business analytical studies using accepted data science techniques to provide insight into areas of trending/improvement for prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues.Aggregate and analyze population health data to respond to questions from the various Congressional inquiries, DoD senior leaders, AFMOA, AF Surgeon General, Service-specific Headquarters agencies, and the MTFs.Access, validate and analyze information about the AF population by developing, validating and linking various medical, safety, environmental, occupational and personnel databases.Identify and troubleshoot data import, analysis, and display errors from multiple data sources.Provide data analysis and decision support using research expertise as well as literature review/evidence-base to develop clinical and business measures and prototypes of health information technology (IT) tools, programs, procedures, services or databases to support AFMOA’s goal of building a managed healthcare system that considers and optimizes safety, quality, cost and access.Provide technical knowledge to customers, internal and external to AFMS/AF, regarding study design and methodologies.Have the ability to understand and show sufficient proficiency to code/ recode/rewrite using Structured Query Language (SQL).Provide ad hoc data/reports or queries.Conduct research and perform analysis (including development / use of predictive models for improving clinical operations and evaluating clinical currency, efficiency, and productivity) to support a variety of clinic practices initiatives and improve clinical operations and evaluate clinical currency, efficiency and productivity, including, but not limited to, provider profiling, provider productivity/efficiency, empanelment size designation/determination, referral pattern analysis, utilization of ancillary services and related activities.REQUIRED SKILLS AND EXPERIENCE: Able to read, write, speak and understand English.Proven ability to synthesize disparate facts from multiple sources and coalesce into an accurate and useful analytic product, incorporating Service and MHS strategic goals for use by leadership in both tactical and strategic decision making.Demonstrated ability to organize/participate/lead working groups to develop analytic products and byproducts or to develop/understand processes leading to effective optimization of analytic efforts.Demonstrated ability to effectively and clearly communicate analytical discoveries and appropriate recommendations/mitigation strategies to all levels of customers including Senior AFMS leadership.Demonstrated advanced proficiency in Microsoft Office products PLUS additional software/hardware skills and capabilities including Python and Tableau.DEGREE/EDUCATION/CERTIFICATION REQUIREMENTS: Master’s degree in Public Health, Health Services Research, Epidemiology, Mathematics, Biostatistics, Statistics, Informatics or related areas, or previous participation in advanced training/program with one of those related areas and identified as a Fellow in their area of expertise is required.Other significant related clinical/medical/health data experience such as previous participation in an analytics/quantitative field fellowship/training may be considered as an appropriate substitute for education, but minimum of Bachelor’s degree in above areas required unless otherwise specified and with few exceptions.CITIZENSHIP/SECURITY CLEARANCE REQUIREMENTS: Must be a U.S. CitizenThe Alaka'ina Foundation Family of Companies (FOCs) is comprised of industry-recognized government service firms who are designated as Native Hawaiian Organization (NHO)-Owned and fall into the respective categories of standard Small Business, 8(a) certified Small Disadvantaged Business (SDB), and HUBZone. The FOCs includes Ke'aki Technologies, Laulima Government Solutions, Kūpono Government Services, Kāpili Services, and Po'okela Solutions. Alaka'ina Foundation activities under the 501(c)3 principally benefit the youth of Hawaii through charitable efforts which includes providing innovative educational programs that combine leadership, science & technology, and environmental stewardship.Indeed Hire and Ke’Aki Technologies are working together to find the best candidate for this job. By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.Job Type: Full-timeExperience:expertise in prevention, managed care, clinical safety: 4 years (Required)clinical/ medical/ health data: 5 years (Required)Education:Master's (Required)Work authorization:United States (Required)Job distance:San Antonio, TX: Between 11 and 20 miles (Preferred)",Data Scientist
Unknown,Unknown,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?

If any of this sounds appealing, look no further.

Job Description:
Support a DoD program focused on predicting optimal locations for activities using multiple geospatial data sources.

Basic Qualifications:

High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery

Desired Skills:

Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries

So, what does Novetta do?

We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.

Our culture is shaped by a commitment to our Core Values:

Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.

GET A REFERRAL BONUS FOR THE GREAT PEOPLE YOU KNOW!
With our amazing referral program, you could be eligible to earn
outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex,
gender identity, sexual orientation, race, color, religion, national origin, disability,
protected veteran status, age, or any other characteristic protected by law.",Data Scientist
"Los Angeles, CA 90025",Conversion Logic,"Our team is changing the way marketing decision makers understand their cross channel portfolio and with our advanced attribution platform (XC Logic) delivering actionable insights in real-time across all devices. By using our proprietary Ensemble Method and state-of-the-art machine learning, which enables us to break free of the one size fits all algorithm and create a truly unique dynamic predictive solution for our customers, marketers can identify clear understandable ways to achieve efficiency gains of 30-50%. And as an independent lean startup, Conversion Logic is untethered from any media entity influence.

Changing an industry is never a small task and requires team of exceptional people. Our Data Science team is seeking a Data Scientist to help them drive R&D in advanced attribution modeling and analytical support to client service and engineering teams in client delivery and product development.

HOW YOU WILL HAVE AN IMPACT...


Research, develop, operate, and extend advanced marketing attribution models with Machine Learning algorithms to be deployed in production
Collaborate closely with client services and engineering to deliver insights to clients on time
Define and implement features to our marketing analytics products in Python

WHAT YOU WILL NEED...


Degree in Computer Science, Statistics, Mathematics, Physics, or Engineering
Experience in predictive modeling with Machine Learning algorithms
Understanding of probability, statistics, and linear algebra
Solid coding skills in Python
Excellent teamwork and communication ability
Being passionate in Data Science, disciplined at work, and confident while being humble

So if you like solving data, product or engineering puzzles. Are excited by great data visualization. If happy clients make your day. And want to work in a lean startup with brilliant people. Then Conversion Logic is your next company. Our culture is defined by smart people who like to solve difficult problems. We have an entrepreneurial swager, a warm work environment, and a close-knit team that loves to solve hard problems.

Conversion Logic is an EOE M/F/D/V",Data Scientist
