id,author,description,price,ratingValue,pert_alcohol,category
1,John Hansell,"A marriage of 13 and 18 year old bourbons. A mature yet very elegant whiskey, with a silky texture and so easy to embrace with a splash of water. Balanced notes of honeyed vanilla, soft caramel, a basket of complex orchard fruit, blackberry, papaya, and a dusting of cocoa and nutmeg; smooth finish. Sophisticated, stylish, with well-defined flavors. A classic!",85.0,97,51.5,2.0
2,Dave Broom,"There have been some legendary Bowmores from the mid-60s and this is every bit their equal. All of them share a remarkable aroma of tropical fruit, which here moves into hallucinatory intensity: guava, mango, peach, pineapple, grapefruit. There’s a very light touch of peat smoke, more a memory of Islay than the reality. Concentrated; even at low strength the palate is silky, heady, and haunting, and lasts forever in the dry glass. A legend is born. (Eight bottles only for the U.S.) Editor's Choice.",13500.0,97,42.9,1.0
3,John Hansell,"This bottling celebrates master distiller Parker Beam's 50 years of service by including whiskey from each of the past five decades. This is a fabulous whiskey: seamless and incredibly complex, with an impeccable marriage of youth and maturity. It’s also very even-keeled throughout -- quite different than last year’s equally impressive PHC, a 27 year old, whose personality was more like an exhilarating old wooden rollercoaster ride (and also brandished more oak). Look for candied citrus, nectarine, blueberry, and sultana anchored by a nougat center, laced with honeyed vanilla and orange creamsicle. There’s a dusting of cocoa powder, brittle mint, and cinnamon, too. Tobacco leaves, polished leather, and teasing bourbon barrel char round out the palate, emerging more prominently towards a warming finish. A classic!",150.0,97,50.0,2.0
4,John Hansell,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",4500.0,97,40.5,1.0
6,Davin de Kergommeaux,"After 40 years in barrels, the trademark Canadian Club dark fruit is as rich as ever. Reminiscent of raisin tarts with sprinkles of sweet baking spices, then strawberries and black pepper. Warming but never hot. No tannins, no woodiness; silky barrel tones are the only hint of oak, while soaring floral esters speak loudly of time in the barrel. The glowing, never-ending finish is spectacular. Canada’s Sesquicentennial Celebratory Release. C$250",199.0,96,45.0,
9,Fred Minnick,"A caramel-laden fruit bouquet, followed by unending vanilla, leather, tobacco, cotton candy, marshmallow, quince, cinnamon, hints of juniper, and wildflowers. Then, brown sugar butter and maple syrup over buttermilk pancakes, Cracker Jack, raw honey, bittersweet chocolate, and hints of pecan shell. Extremely long finish with a fried apple pie note. An incredibly complex and intense, must-have sipper. Perfection.",150.0,96,54.49,2.0
12,John Hansell,"Distilled at the now legendary Stitzel-Weller distillery. Rich aromas of vanilla toffee, marzipan, cocoa, nutmeg and cinnamon. Similar follow-through on the palate, with black raspberry, maple syrup, teaberry, and dusty dried corn thrown into the mix. Warming cinnamon and polished oak on the finish. The sweet notes balance and integrate nicely with the oak. An exemplary rendition of an ultra-aged wheated bourbon. Price is per 375 ml. Editor's Choice.",300.0,96,45.0,2.0
14,John Hansell,"No age statement, but distilled in 1998. A beautiful expression of Stagg, and a lot of bourbon for your buck. Easy to drink with the addition of water, showing caramel, nougat, dates, dark chocolate, polished oak, along with a hint of leather and tobacco. Slightly better than last year’s release—richer, thicker, and more balanced. I’m enjoying Stagg’s more rounded, less aggressive demeanor of late. A classic! Editor's Choice.",80.0,96,69.05,2.0
15,Davin de Kergommeaux,"Monarch, the 75th anniversary limited edition of Canada’s best-selling whisky, raises the already high Crown Royal flavor bar. Zesty rye from an ancient Coffey still is the throbbing heart of this blend, balancing cloves, ginger, cinnamon, glowing hot pepper, and that gorgeous sour bitterness of rye grain against crispy, fresh-sawn lumber, fragrant lilacs, dark fruits, and green apples. Butterscotch, chocolate, toffee, mint, pine needles, and sweet pitchy balsam enrich a luscious, creamy mouthfeel carefully tempered by grapefruit pith. Editor's Choice",75.0,96,40.0,4.0
16,Dave Broom,"A rich amber color and elegantly oxidized notes greet you. There are luscious old fruits—pineapple, dried peach, apricot—and puffs of coal-like smokiness. In time, sweet spices (cumin especially) emerge. Superbly balanced. The palate, while fragile, still has real sweetness alongside a lick of treacle. It can take a drop of water, allowing richer, darker fruits to emerge. The finish is powerful, long, and resonant. Superb, not over-wooded, and a fair price for such a rarity. £1,995",3360.0,96,47.2,
