id,description,ratingCategory
1321,"
Sometimes, when whisky is batched, a few leftover barrels are returned to the warehouse. Canadian Club recently pulled and vatted several of these from the 1970s. Acetone, Granny Smith apples, and fresh-cut white cedar showcase this long age. Complex and spicy, yet reserved, this dram is ripe with strawberries, canned pears, cloves, pepper, and faint flowers, then slightly pulling oak tannins. Distinct, elegant, and remarkably vibrant, this ancient Canadian Club is anything but tired. (Australia only) A$133",1
3861,"
An uncommon exclusive bottling of a 6 year old cask strength malt. Light gold in color, the nose is vegetal, more peat bog than peat smoke, with an undercurrent of pastry cream and rose. It’s an odd combination of aromas. The entry is flavorful and inviting with smoked pineapple, clove, and rose. Peak smoke arrives in full force in the mid-palate, which drops the sweet and becomes spicy. The finish is mostly smoke, but with a pleasant minty coolness.  (Wyoming only)",0
655,"
This release is a port version of Amrut’s Intermediate Sherry — a sort of port pipe sandwich. The spirit is matured in both unused casks and bourbon casks, then spends a few months in port pipes, and then returns to bourbon casks. The result is a Pink Floyd show of a whisky: vibrant, colorful, complex, and nearly too much. A blackcurrant and wispy, smoky nose gives way to an intense and bittersweet mix of chili, blackcurrant, oak, damson, dark chocolate, and peat. Astounding. ",1
555,"
This 41 year old single cask was aged in a sherry butt and interacted magnificently with that wood. The nose offers peeled red apples, sultanas, honey, fudge, milk chocolate, and American cream soda. Balanced and harmonious throughout, the palate yields remarkably fresh orchard fruits, pipe tobacco, black pepper, and ginger. Long in the finish, with cinnamon drying to dark chocolate, and slightly smoky, unobtrusively tannic oak. A 1970s classic!",1
1965,"
Quite herbal on the nose, with aromas of dried tarragon, parsley, and dill, along with cherry, milk chocolate, orange blossom, vanilla bean, and sweet tea. The palate is slightly grain-forward, but is full and well balanced, with orange, dried flowers, chamomile tea, lemon rind, and ginger. The finish offers cinnamon and milk chocolate against a note of candied lemon. Youthful and barrel-influenced, but admirably executed.",1
3190,"
Cooley produced some great Irish single malt whiskeys and this is no slouch, either. It pulls off the trick of being both very Irish, with sweet, lush pear, fermenting apple, and yellow fruit notes; and of being distinctively a single malt, mainly because the barley is held in check by just enough influence of tannin and spice. It's a bit like a fruit cordial, and the oak doesn't overstay its welcome. A nice pepper flourish in the finish.",1
3736,"
This year’s Ardbeg Day bottling is named in tribute to World Cup host Brazil’s national colors: Auri (Gold) and Verdes (Green). Very restrained to start: grassy, sweet with vanilla pod, shoreline, and smoke wrapped in a woolen blanket. The palate shows more smoke, light chocolate, Ardbeg oiliness, and soot. It’s fresh and charming, but ultimately is a quarterfinalist beaten on penalties.",0
2643,"
As part of a rebranding of the entire Talisker range, Diageo has brought its Special Releases 25 and 30 year old cask strength expressions into the full-time fold, reduced in strength to 45.8%. Sweet and buttery on the nose; soft fruits and fragrant malt, milk chocolate, and dry, crumbling peat. Citrus fruits (notably lemon), licorice sticks, black pepper, and scorched wood on the palate. Dry and oaky in the lengthy finish, with peat notes and allspice to the end. £300 ",1
4817,"
MacQueen’s has an impressive range of age statement blends, but this is the youngest one. Faint caramel and toast, a mild rub of whole spice, and snuff tobacco. The mouthfeel is meager and lacks any real punch; there is spice and fudge, but little sweetness. More caramel flavors develop alongside chocolate notes before a dry, quick finish. There are better options around, even at this price.",0
4528,"
Full gold color. Layers of citrus fruit on the nose (especially Seville orange, lemon, grapefruit), with just a faint hint of peat smoke and floral, herbal notes. Light to medium in body. It tastes similar in many ways to its aroma-there’s plenty of citrus fruit. The fruit comes first, followed by the classic ""older Bowmore"" oaky dryness. An echo of flavors repeats this sequence-first the citrus fruit, then the dry oak flavors. Some peat smoke teases in the background, but is mostly restrained. Fry, oaky, faintly peaty finish. This whisky is classic older Bowmore (30+ years), with its exotic citrus fruit, distinctive oaky dryness, and faintest hint of peat smoke.",0
418,"
This has the classic sweetish, oily, floral, leathery nose of 100% rye grain whisky. A luxurious, creamy, medium-weight dram with caraway rye bread, restrained but hot peppery spices, vague citrus notes, and hints of cedar setting goal posts for punts of sweet and vaguely floral barley sugar, nail polish (in a good way), caramel, barrel wood, well-aged lumber, dark rye bread, ripe apples, milk chocolate, and baking spices. $90 CAD",1
4495,"
Folklore tells of the Silkies, whose siren voices and beckoning, limpid eyes were irresistible to any man. From the team planning to build Sliabh Liag Distillery in County Donegal comes a palate of vanilla fudge, wood spices, and some vegetal notes following a nose of cold toffee brittle, fresh-cut herbs, and white pepper. A conspicuous grain character penetrates through, but this adds to a mature profile, making this blend stand out from the crowd of bourbon cask sweeties. €47",0
670,"
A high-strength blend that takes no prisoners. The color is full gold and the first thing that hits the nose is a complex mix of restrained smoke (sandalwood, cigar), fennel, and celery before semi-dried tropical fruits and orange peel take over. The palate also shows some of that mango character, but also crisp oak and a burst of sweet powdered spices on the finish. A malt-lover’s blend.",1
